text,label
"С российского рынка исчезли сразу несколько популярных кроссоверов. Рассказываем, какие популярные автомобили исчезли из продажи",auto
На Широтной магистрали перекрывают съезд. Проезд по нему будет недоступен до утра,auto
"А «немцы» вообще не нужны. Отечественные авто впервые за 3 года обошли по продажам «китайцев». На немецкий автопром приходится всего 4,4% продаж",auto
Французы показали фото новых Renault. Это они должны были стать бестселлерами Lada. Сравниваем их с нынешним ассортиментом завода,auto
"Жизнь длиной в полтора года. Как умер Xcite, не успев прославиться. Машины прошли капитальный ремонт",auto
Петербург подарил столице Абхазии 10 своих троллейбусов. На региональных дорогах ограничат движение грузовиков,auto
В Ленобласти стартуют весенние ограничения для «просушки» дорог. Парковочное приложение не отключат вместе с мобильным интернетом,auto
Приложение и сайт петербургских парковок добавили в «белый список». Изучаем рейтинг популярных у петербуржцев машин,auto
"В Петербурге в феврале выросли продажи новых легковых авто: Haval снова лидер. Тех, кому нужно в Кировский район, предложили возить на автобусах и электричках",auto
Власти Ленобласти обсудили способы уменьшить пробки из-за ремонта Ладожского моста. В Петербурге перекроют и ограничат улицы из-за работ на сетях и ремонта путей,auto
Водителям добавят проблем на перекрестках Нахимова с Кораблестроителей и Хошимина с Выборгским. Теперь с ним будет разбираться ГИБДД,auto
"«Встречка» где не ждали. Водитель решил проехать «против шерсти» по ЗСД. В компании указали, что ожидания от проекта не оправдались",auto
"ФНС разъяснила, когда автокредит по льготной ставке облагается НДФЛ. Регистрация новых автомобилей глобальных брендов в России выросла на 148%",auto
Проект «Москвич 5» официально закрыт. Западный скоростной диаметр Петербурга ждет перекрытие из-за работ,auto
"Налоговая хочет 35% НДФЛ с тех, кто покупал машины в кредит по льготным ставкам. Это грозит только в одном случае. Казахстан сейчас работает над повышением утильсбора на автомобили из РФ",auto
"Ждуны не дождались: спрос на некитайские иномарки в России вырос почти в 2,5 раза. До 27 марта будут перекрывать один из съездов на развязке КАД в Петербурге",auto
На ЗСД закроют съезд на Витебскую развязку. Пробки на 1 балл превышают обычные для середины дня пятницы,auto
Не смотрите на солнце. Когда менять резину — подсказывает «Автодор». Проезд будет недоступен до 6 часов утра,auto
"Казне — «Ладу», себе — Hongqi. Как за пять лет госавтопарк ушел от корейских машин к «китайскому „Роллс-Ройсу“». Вместе с машинами без номеров проштрафившихся оказалось больше 10 тысяч",auto
24 тысячи нарушений ПДД зафиксировали камеры на перекрестке проспекта Славы и Бухарестской улицы в 2025 году. На Витебской развязке ЗСД в Петербурге закроют съезд,auto
"«Казахстан реагирует симметрично». Эксперт высказался о повышении утильсбора на машины из России. Петербургскому автобусу в этом году исполняется 100 лет, а правилам дорожного движения — 130.",auto
Развязка КАД с Выборгским шоссе останется без съезда до конца марта. Трассу Р-23 ждет реверс. Авария собрала 7-километровый затор на КАД,auto
Неожиданные пробки образовались на дорогах Петербурга посреди дня. Затор в сторону Петербурга тянется на пять с лишним километров,auto
"Как идет ремонт Ладожского моста — рассказывает и показывает Упрдор. Петербургскому автобусу в этом году исполняется 100 лет, а правилам дорожного движения — 130.",auto
На КАД закроют два съезда на развязке с Московским шоссе. В начале марта ограничат и перекроют улицы в восьми районах Петербурга,auto
За зиму в Петербурге сорвали почти 7 тысяч попыток скрыть номера на платных парковках. Светофор на перекрестке Невского и Лиговского проспектов отключат на ночь,auto
На ЗСД к ночи перекроют один из съездов. О новых перекрытиях предупреждают в комитете по транспорту,auto
