text,label
"Закрытые территории трамвайных депо в Петербурге защитят от снега, грязи, пыли, а также от несанкционированного проникновения трейнрайтеров, разрисовывающих подвижной состав, самоходные роботизированные коммунальные машины. Об этом на Международном транспортно-логистическом форуме, который начался сегодня в Петербурге, сообщил председатель комитета по транспорту Денис Минкин.",auto
"Президент РФ Владимир Путин обратился по видеосвязи к участникам транспортно-логистического форума, проходящего в Петербурге.",auto
Губернатор Ленинградской области Александр Дрозденко рассказал о защите региона во время атак беспилотников. Состоялось заседания совета под председательством полномочного представителя президента в СЗФО Игоря Рудени.,auto
"Строительство второго разводного моста широтной магистрали скоростного движения (ШМСД) в Петербурге начнётся летом 2026 года, сообщил губернатор Александр Беглов.",auto
"В Литве в ответ на рост цен на топливо в 2 раза снизили стоимость всех железнодорожных билетов, чтобы мотивировать граждан пересаживаться на поезда.",auto
"Президент России Владимир Путин дал старт очередному этапу строительства Широтной магистрали скоростного движения в Петербурге, сообщили в пресс-службе Кремля.",auto
"По скоростной федеральной автомобильной дороге М-12 ""Восток"" запустили движение беспилотных грузовых автомобилей. Об этом заявил президент России Владимир Путин, передают ""Известия"".",auto
"В Невском районе Петербурга четыре человека пострадали в результате столкновения двух автобусов, сообщили ""ДП"" в комитете по транспорту.",auto
"В Центральном районе Петербурга на пяти локациях повысили цены на платную парковку, сообщает СПб ГКУ ""Городской центр управления парковками Санкт-Петербурга"".",auto
"На вторую ветку петербургского метро вывели четыре ""Балтийца"" новой модификации, сообщили в комитете по транспорту.",auto
"Ограничения на приём и вылет воздушных судов в петербургском аэропорту Пулково сняты, сообщили в пресс-службе ""Воздушных ворот Северной столицы"".",auto
"Жителям Петербурга с 31 марта станут доступны сигналы светофора в онлайн-картах, сообщили в комитете по транспорту.",auto
"Автостоянка на площади Восстания будет бесплатной для участников транспортного форума, следует из распоряжения Комтранса.",auto
"Правительство Петербурга утвердило проекты планировки и межевания территорий дорожных развязок в пяти районах города, следует из опубликованных документов.",auto
Резкий рост цен на лёгкое мазутное топливо вызвал обеспокоенность в Финляндии.,auto
"Ночью во вторник из-за ремонта перекроют съезды Витебской развязки ШМСД, сообщили в пресс-службе ""Магистрали Северной столицы"".",auto
В России утвердили ГОСТ на регистрационные знаки для средств индивидуальной мобильности.,auto
"Ливни и наводнения в Дагестане привели к изменению маршрута поездов, связывающих регион с Петербургом, сообщили в пресс-службе РЖД.",auto
"Петербург возвращается к строительству транспортных тоннелей. На прошлой неделе вышел документ о подготовке проекта планировки территории, предусматривающего размещение такого тоннеля под ЗСД и железнодорожными путями. Он соединит Бассейную улицу и проспект Народного Ополчения. Сооружение, судя по всему, рассчитано на большой трафик, так как включает в себя от четырёх до шести полос. Проект должен быть готов в феврале 2027 года, после чего можно будет приступать к проектированию и строительству самого объекта.",auto
"В Петербурге планируется ужесточить требования к судам, которые перевозят пассажиров, сообщает 78.ру со ссылкой на комитет по развитию транспортной инфраструктуры города.",auto
"В России расширили список автомобилей, которые облагаются налогом на роскошь, следует из перечня Минпромторга.",auto
"За время ограничений на полёты 29 марта в аэропорту Пулково было задержано и отменено 43 рейса, рассказали в пресс-службе воздушной гавани.",auto
"Поезд №135 из Махачкалы в Петербург изменил маршрут следования из-за погодных условий, проинформировала пресс-служба РЖД.",auto
"В аэропорту Пулково задерживаются и отменены по меньшей мере 33 рейса на вылет, следует из данных онлайн-табло воздушной гавани.",auto
"На реках и каналах Петербурга появились первые прогулочные теплоходы, передаёт корреспондент ""ДП"".",auto
"Посольство РФ в Финляндии готово оказать помощь и содействие пассажирам злополучного рейса Белград – Петербург, сообщили в пресс-службе ведомства.",auto
"Обновлённый второй состав поездов ""Красной стрелы"" с вагонами габарита Т 29 марта отправят в первый рейс из Петербурга в Москву, сообщили в пресс-службе РЖД.",auto
"Самолёт из Белграда в Петербург третий день не может приземлиться в Пулково из-за закрытого из-за беспилотников воздушного пространства, пишет 78.ru.",auto
"Объявленная в Ленинградской области рано утром 28 марта воздушная опасность атаки БПЛА внесла коррективы в расписание полётов аэропорта Пулково в Петербурге, судя по данным с онлайн-табло воздушной гавани.",auto
"В Петербурге с 30 марта изменят маршруты троллейбусов №3, 8 и 28 из-за работ на коммуникациях на Кондратьевском проспекте, сообщили в пресс-службе СПб ГКУ ""Организатор перевозок"".",auto
"Смольный до 2 апреля определит поставщика 20 микроавтобусов для многодетных семей, следует из данных на сайте госзакупок.",auto
"Четыре пассажира автобуса получили травмы различной степени тяжести после аварии с электросамокатом на улице Рихарда Зорге, сообщили в пресс-службе ГУ МВД по Петербургу и Ленобласти.",auto
"В Петербурге разрешили исправлять ошибки, допущенные при оплате парковки, и продлевать её действие. Соответствующее постановление правительства подписал губернатор Александр Беглов.",auto
Власти Петербурга предложили ввести специализированную дорожную разметку для парковок самокатов и других средств индивидуальной мобильности (СИМ). Городской комитет по транспорту направил соответствующее обращение в министерство транспорта РФ.,auto
"Строительство и последующий запуск ж.-д. платформы Пулковские высоты (19-й км) в Пушкинском районе Петербурга могут перенести на 2027-2028 годы, стало известно ""ДП"".",auto
"Общая протяжённость велодорожек в Петербурге к 2029 году увеличится почти на 20%, до 190,8 километра, заявили в Комтрансе.",auto
"Сеть центров плавания для детей ""Акваняня"" в Петербурге расширила свой автопарк благодаря комитету по транспорту.",auto
"С 29 марта из Петербурга в Севастополь начнёт курсировать новый автобусный маршрут, рассказали в пресс-службе комитета по транспорту.",auto
"В Петербурге прорабатывают вопрос качества связи во время проведения ПМЭФ, заявил вице-губернатор Валерий Москаленко.",auto
Десятки рейсов в сутки направляются через воздушное пространство Финляндии из-за ограничений в петербургском аэропорту Пулково.,auto
