text,label
По итогам 2025 года число оформленных в Петербурге нотариусами исполнительных надписей увеличилось почти в три раза — до 65 тыс. штук.,finances
Театр имени Ленсовета проиграл спор о взыскании 22 млн рублей за реставрацию интерьеров федерального памятника,finances
"Петербург вошёл в лидеры рейтинга регионов России по размеру банковских вкладов населения, выяснили аналитики РИА Новости.",finances
"В 2025 году в Межрегиональное управление Роспотребнадзора по Петербургу и Ленобласти поступило 418 обращений на действия или бездействие авиакомпаний и/или оператора аэропорта Пулково, выяснил ""Деловой Петербург"".",finances
"Прокуратура Ленинградской области успешно оспорила в суде продажу трёх десятков земельных участков, расположенных в Сертолово.",finances
"С Государственного Эрмитажа взыскали 117,96 млн рублей неосновательного обогащения после поставки оборудования. Соответствующее решение принял Арбитражный суд Петербурга и Ленобласти в пользу поставщика ООО ""Остек студио"".",finances
"Арбитражный суд Петербурга и Ленобласти выдал исполнительный лист на принудительное взыскание $1,3 млн задолженности и неустойки, 225,8 тыс. рублей долга и неустойки и почти 1 млн рублей госпошлины с ООО ""Жешартский ЛПК"" (ЖЛПК).",finances
"Театр им. Ленсовета проиграл спор, связанный с разработкой костюмов для спектакля ""Театральный роман"".",finances
Смольный через суд просят признать право собственности на реконструированные склады в Колпино.,finances
"Комитет имущественных отношений Санкт-Петербурга (КИО) частично выиграл судебный спор с владельцем торгового центра ""Капитолий"". Арбитражный суд Москвы признал нарушение условий аренды земельного участка и постановил взыскать с ООО ""ЭНКА ТЦ"" штраф в размере 679,2 тыс. рублей.",finances
В Петербурге гонорар успеха для юристов в среднем колеблется в пределах 10–20% от цены спора.,finances
"Концерн ""Питер"" оспаривает отказ Смольного включить два его бизнес–центра в перечень объектов, налог на имущество с которых рассчитывается по кадастровой стоимости.",finances
"Петербургское отделение партии ""Справедливая Россия"" не смогло взыскать с ""Теплосети Санкт-Петербурга"" почти 0,5 млн рублей ущерба за затопленный офис.",finances
"Петербургское ООО ""Транс–груп СПб"" добилось снижения штрафа, наложенного налоговиками, в 50 раз — с 43,6 млн до 0,87 млн рублей.",finances
Субподрядчик на строительстве новой сцены МДТ в Петербурге просит суд о приостановке исполнительного производства на 42 млн рублей.,finances
"Пулковская таможня взыскала 26,15 млн рублей, выведенных петербургской компанией в Польшу.",finances
"С петербургского ООО ""Геоизол"" взыскивают 1,66 млрд рублей. Такое заявление в Арбитражный суд Петербурга и Ленобласти подала публично-правовая компания ""Военно-строительная компания"" (ВСК).",finances
"""Воздушные ворота Северной столицы"" (ВВСС) успешно оспорили приказ управления ФАС по Петербургу о возбуждении антимонопольного дела по факту повышения цен за парковку в аэропорту Пулково с 2025 года. Такое решение размещено в информационной базе ""Электронное правосудие"".",finances
Владельца здания отеля THE FACES в центре Петербурга обязали устранить нарушения противопожарного законодательства.,finances
"В Петербурге суд в два раза чаще встаёт на сторону властей, отказывающих бизнесу в выкупе участков без торгов.",finances
"Сотрудники складов ""Яндекс Лавки"" в Петербурге, которые были трудоустроены через подрядчика ООО ""Брик"", уже 2 месяца не могут получить документы об увольнении и справки о доходах.",finances
"Петербургское ООО ""ГК АПП СМТ"" взыскивает 22,2 млн рублей с платёжного агента из Киргизии. Спор связан с блокировкой отправленных в Европу денег.",finances
"В Петербурге выявлено 10,7 тыс. компаний с недостоверными юридическими адресами по итогам проверок Федеральной налоговой службы (ФНС).",finances
"""Резиновые"" офисы могут исчезнуть. Десятки, а то и сотни юрлиц нельзя прописывать по адресу одного и того же помещения. Так постановил Верховный суд России.",finances
В Петербурге оспаривают постановление Смольного об изъятии земли под строительство Широтной магистрали скоростного движения (ШМСД).,finances
"Впервые в практике Арбитражного суда Петербурга и Ленобласти утверждён совместный план реструктуризации задолженности супругов в рамках процесса об их несостоятельности. Суд объединил в одно производство дела о банкротстве ИП Андрея Полякова и его супруги Натальи. Общий размер их задолженности перед кредиторами — 682,7 млн рублей.",finances
"Введено наблюдение в петербургском АО ""Норд-вест сервис ""Дракон"", которое взыскивает с Минфина и администрации губернатора Петербурга 1,39 млрд рублей. Такое решение размещено в информационной базе ""Электронное правосудие"".",finances
Задержка выплаты даже спорного трудового вознаграждения признаётся преступлением. Но избежать судимости можно.,finances
"АО ""Роснано"" проиграло судебный процесс по оспариванию сделки по продаже фармацевтической компанией ""Фармсинтез"" из Ленобласти своей эстонской ""дочки"" — АО ""Кевельт"".",finances
"Петербургское ООО ""Остек студио"" взыскивает с Эрмитажа 131,4 млн рублей.",finances
"В Арбитражном суде Петербурга и Ленобласти примирительные процедуры использовались в первой половине 2025 года только в двух делах, а за весь минувший год — по четырём делам, следует из данных ""ДП"".",finances
"Больницу им. Боткина обязали выполнить ремонт территории регионального памятника ""Комплекс Александровской барачной больницы"".",finances
"Тринадцатый Арбитражный апелляционный суд (13ААС) оставил в силе решение Арбитражного суда Петербурга и Ленобласти, признавшего в мае этого года недействительным решение петербургского УФАС, касающееся роста цен за парковку в аэропорту Пулково.",finances
"В Петербурге суд приостановил взыскание свыше 400 млн рублей с машиностроительного завода ""Тонар"", крупнейшего в России производителя прицепной и полуприцепной техники.",finances
"Петербургский разработчик софта ""Нуматех"" отбился от обвинений в плагиате и от выплаты 3,24 млрд рублей в качестве компенсации.",finances
"Просевший было в первой половине года спрос бизнесменов на заключение опционов вновь начал оживать. По оценке экспертов Нотариальной палаты Санкт-Петербурга, на фоне смягчения денежно-кредитной политики Банка России этот спрос, а за ним и количество соглашений о предоставлении опционов продолжит стремительно расти.",finances
"Введено наблюдение в петербургском ООО ""СК “Реставратор”"", подрядчике строительства Судебного квартала.",finances
"За январь–июнь этого года в суды Северной столицы поступило 9,4 тыс. исков от банков к горожанам о взыскании кредитной задолженности. Общая сумма, которую требовали банки с ответчиков, — 15,4 млрд. Но суды удовлетворили только 5,86 тыс. заявлений и взыскали 2,5 млрд рублей.",finances
"Число несостоятельных петербуржцев по искам финансовых организаций за первое полугодие 2025 года увеличилось в 1,5 раза.",finances
"С петербургского ООО ""Строительная компания ""Сегмента"", основного подрядчика на строительстве Судебного квартала, взыскивают 429,28 млн рублей.",finances
"Строительный синдикат ""Л1"" проиграл налоговый спор на 364 млн рублей.",finances
"Самозанятые, а также малый и средний бизнес получили право на кредитные каникулы. Но рост доли неплатежей вряд ли остановится.",finances
Сделка 2023 года по продаже здания отеля SO на Вознесенском проспекте оспаривается в суде в рамках процедуры банкротства Алексея Говорунова.,finances
"Прокуратура Ленобласти через суд вернула Заневскому горпоселению 32,5 га земли. Вопрос о возврате почти 1 млрд рублей текущему собственнику участков остался открытым.",finances
"В Северной столице третий год подряд неуклонно снижается количество судебных бракоразводных процессов. Так, за январь–июль этого года таких дел было 2,34 тыс., а за аналогичный период 2024 и 2023 годов — 2,5 тыс. и 2,78 тыс. соответственно.",finances
"Совокупная стоимость имущества, которое делили супруги в судах Петербурга, в январе–июне 2025 года сократилась более чем в два раза, рассказала ""Деловому Петербургу"" глава объединённой пресс-службы судов города Дарья Лебедева.",finances
"С конца сентября на ресурсах, посвящённых тонкостям бухучёта, множатся пугающие бизнесменов прогнозы о скором и неизбежном подорожании услуг главных бухгалтеров. Дело в росте финансовых рисков. Предстоящее снижение лимита доходов для упрощённого налогообложения для множества компаний сделает невозможным работу с простыми бухгалтерами, которые умеют лишь ""складывать упрощёнку"". Им всем якобы понадобятся теперь и ""сложные"" бухгалтеры, которые досконально разбираются в тонкостях начисления НДС и не боятся усиленных камеральных проверок.",finances
