text,label
"Традиционные банки в их текущем виде должны ""умереть"", заявил заместитель руководителя администрации президента РФ Максим Орешкин на форуме ""Толк"".",finances
"Финансовая система России является одной из самых современных в мире, заявил замглавы администрации президента РФ Максим Орешкин.",finances
"Некоторые дочерние банки маркетплейсов могут стать в будущем системно значимыми, заявила председатель ЦБ РФ Эльвира Набиуллина.",finances
"Законодательное ограничение числа выдаваемых банками ""в одни руки"" пластиковых или виртуальных карт двадцатью носителями всё ближе. Скорее всего, это произойдёт 1 сентября.",finances
"В рамках пакета законодательных поправок ""Антифрод 2.0"" с сентября в России начнётся новая волна борьбы с мошенничеством.",finances
"С 1 апреля свыше 233 тыс. ИП Петербурга не смогут подтверждать свой доход в банке для получения кредита справками, выписанными самостоятельно.",finances
"Огромные очереди выстроились в понедельник, 30 марта, в центре Таллина.",finances
"Доля вкладов населения России в рублях в феврале достигла исторического максимума в 95%, следует из статистических данных Центробанка.",finances
"Юникредит банку отказали в обращении взыскания на аутлет ""Fashion house шереметьево"" из–за связей с Европой",finances
"Банк России через свою компанию ""Росинкас"" запускает независимую от банков сеть банкоматов. Снятие и внесение наличных через них, как утверждается, станет бесплатным как для граждан, так и для бизнеса.",finances
"Падение процентных ставок по вкладам вслед за снижением Банком России ключевой ставки серьёзно изменило финансовую моду. Модные в сезоне прошлого года ""карусели"" и кредитки как способ дополнительного заработка уже не волнуют умы публики. Впрочем, попытки переодеть её накопления в соблазнительные наряды из акций – успеха тоже не имеют.",finances
Банки стали чаще одобрять гражданам заявки на кредиты. получить ссуду теперь могут двое из десяти.,finances
В Литве резко выросло количество уведомлений об увольнениях работников.,finances
Банки в Эстонии запретили своим клиентам оплачивать сбор за оформление виз в Россию.,finances
"Финский банк Nordea, являющийся крупнейшим в странах Скандинавии, объявил о масштабных планах по сокращению персонала.",finances
"Производитель обоев ""Артекс"" из Ленинградской области получил от банка ""Россия"" четвёртый за последние полгода крупный иск на сумму 290 млн рублей, следует из картотеки Арбитражного суда Петербурга и Ленобласти.",finances
"""Агентство по страхованию вкладов"" (АСВ) дополнительно направит на расчёты с кредиторами Таврического банка в Петербурге 2,69 млрд рублей, сообщили в пресс-службе корпорации.",finances
"Банк России на заседании 20 марта с высокой вероятностью может снизить ключевую ставку до 15% годовых, прогнозируют аналитики.",finances
Впервые с начала года в Петербурге зарегистрирована новая небанковская кредитная организация. Её возглавил известный в городе банкир.,finances
"Остатки на депозитах у жителей Петербурга на начало февраля 2026 года превысили 5,3 трлн рублей, увеличившись за год на 26%, следует из данных ЦБ.",finances
"Несмотря на снижение ключевой ставки, рынок кредитования не спешит оживляться. Большинство заёмщиков ждут продолжения этой тенденции, но наиболее устойчивые отрасли и предприятия занимают и инвестируют уже сейчас. Об этом ""Деловому Петербургу"" на прошедшем инвестиционном форуме ""РОССИЯ ЗОВЁТ! Санкт-Петербург"" рассказал руководитель департамента по работе с клиентами рыночных отраслей ВТБ Дмитрий Средин.",finances
"ЦБ наказал петербургское ПАО ""ЦентрЭнергоХолдинг"" за нарушение законодательства о порядке подготовки и проведения общих собраний акционеров.",finances
"Вклады сроком на три месяца заняли 54,7% от общего числа в феврале, сообщают в финансовом маркетплейсе ""Финуслуги"".",finances
"В посёлке Путилково Московской области в отделении банка произошёл взрыв, сообщают источники.",finances
"Совладельца ББР Банка Дмитрия Гордовича арестовали в Москве, указано в картотеке Басманного районного суда.",finances
"В Петербурге ведутся следственные действия в отношении клиентов ББР банка, сообщили ""ДП"" в пресс-службе финорганизации.",finances
"Центробанк предлагает превратить банки и брокеров в криптообменники в рамках борьбы с отмыванием денег и терроризмом, сообщила глава ЦБ РФ Эльвира Набиуллина.",finances
Петербургское УФАС возбудило дело о нарушении закона о рекламе в отношении ПАО «Совкомбанк». Об этом сообщили в пресс-службе ведомства.,finances
"Белорусская авиакомпания ""Белавиа"" заключила с Северо-Западным банком Сбербанка договор на приём платежей за авиабилеты. Это первая официальная договорённость между российским банком и иностранной авиакомпанией.",finances
"Банк России опубликовал 27 февраля официальную статистику о количестве выявленных в прошлом году финансовых пирамид и прочих ""нелегальных участников финансового рынка"". И хотя по сравнению с 2024 годом общее число таких субъектов, заманивающих своих жертв не только медными или золотыми, но и криптогрошами, снизилось на 21,5%, оно продолжает впечатлять.",finances
"Группа ВТБ по итогам 2025 года уложилась в прогнозы банка по прибыли и даже превзошла некоторые ожидания аналитиков, сообщил профессор практики по цифровым финансам РАНХиГС Алексей Войлуков.",finances
"В Петербурге за последний год закрылись 72 банковских отделения, следует из статистики Центробанка России.",finances
"Ак Барс Банк сократил сеть отделений, закрыв на минувшей неделе ипотечный центр в Петербурге и одно отделение в Сосновом Бору Ленинградской области.",finances
"ЦБ перепишет финансовых блогеров в реестр. Всевозможные ""эксперты"" из Сети могут лишиться доходов от рекламы.",finances
"Директор департамента денежного рынка Московской биржи Дмитрий Даниленко на форуме ""РОССИЯ ЗОВЕТ! Санкт-Петербург"" рассказал о том, как сегодня устроен рынок краткосрочной ликвидности, кто на нём играет и почему объёмы торгов бьют рекорды.",finances
"На инвестиционном форуме ""РОССИЯ ЗОВЁТ! Санкт-Петербург"" управляющий директор департамента брокерского обслуживания ВТБ Андрей Двоеглазов предложил взглянуть на управление ликвидностью через призму цикла ключевой ставки.",finances
"Сбалансированный подход оказался главным трендом среди пользователей цифрового инвестконсультирования ВТБ Мои Инвестиции. Как сообщили в банке в рамках форума ""РОССИЯ ЗОВЁТ! Санкт-Петербург"", стратегию ""Вечный портфель"" выбрали 40% клиентов, подключивших сервис ""Интеллект"".",finances
Банк ВТБ ожидает в 2026 году перехода к стабилизации экономики на фоне смягчения денежно-кредитной политики.,finances
"Банк ВТБ ожидает, что в 2026 году крупные российские компании не только сохранят, но и укрепят свои позиции в экономике, несмотря на беспрецедентное сочетание вызовов, согласно прогнозу руководителя департамента по работе с клиентами рыночных отраслей ВТБ Дмитрия Средина на инвестиционном форуме ""РОССИЯ ЗОВЕТ! Санкт-Петербург"".",finances
"В Петербурге во второй раз стартовал инвестиционный форум ВТБ ""Россия зовёт!"", который проходит 20-21 февраля 2026 года.",finances
"Стал ли искусственный интеллект неотъемлемой частью финансового мира, заменит ли машина ""живых"" инвестиционных аналитиков и появятся ли на рынке до конца года новые разработки — об этом ""ДП"" рассказал управляющий директор департамента брокерского обслуживания ВТБ Александр Казаков.",finances
"Депутаты Госдумы выступили за увеличение лимита банковских карт для россиян с 5 до 10 штук в одном банке, сообщил председатель комитета ГД по финансовому рынку Анатолий Аксаков.",finances
"Банкам необходимо выдать более широкие полномочия для борьбы с мошенниками, считает глава ВТБ Андрей Костин.",finances
"СЗФО переживает масштабную перестройку экономики: санкции ударили по его ключевому преимуществу, статусу ""ворот в Европу"". Как регион адаптируется к изоляции, за счёт чего теперь банки конкурируют за корпоративных клиентов и почему Петербург становится полигоном для финтех-инноваций — ""Деловому Петербургу"" рассказала директор по работе с корпоративными клиентами Т-Банка в СЗФО Светлана Линникова.",finances
"Цены криптоактивов прекратили обвальное падение и совершают умеренные колебания вблизи достигнутых ранее уровней. Биткоин за последнюю неделю подешевел всего на 1,6%, то есть в 6 раз слабее, чем неделей ранее.",finances
"Банкам становится некого кредитовать, а гражданам — негде оформить даже дорогие потребительские ссуды. Розничное кредитование оказалось доступно только состоятельным заёмщикам.",finances
"Как стало известно на прошлой неделе, семейную ипотеку ожидает в этом году серьёзная реформа. Разговоры об этом шли с середины прошлого года и наконец обрели форму официального документа, а именно — поручения президента РФ.",finances
"Центральный банк России утвердил процедуру отказа от зачисления средств, полученных при мошенническом переводе. Об этом сообщили в пресс-службе регулятора.",finances
"Банк России пообещал в течение года создать единый реестр банковских карт, оформленных у каждого гражданина. За благой целью — защитить страну от мошенников и дропов, то есть посредников, которые помогают выводить и обналичивать похищенные деньги, — как–то умалчивается про очередной шаг к монополизации рынка.",finances
Самое ожидаемое решение Банка России по ключевой ставке 13 февраля — её сохранение на уровне 16%. Но есть и аргументы за снижение.,finances
"В Банке России подтвердили намерения по созданию централизованного реестра банковских карт, сообщили в пресс-службе регулятора.",finances
"За 2025 год в Петербурге задолженность в общем объёме кредитных линий девелоперов выросла до 49%, рассказали опрошенные ""Деловым Петербургом"" эксперты.",finances
"Петербург вошёл в лидеры рейтинга регионов России по размеру банковских вкладов населения, выяснили аналитики РИА Новости.",finances
Объём предоставленного банками проектного финансирования застройщикам за год увеличился всего на 5%.,finances
"Банк России проведёт обследование льготных ипотечных программ в 2026 году на фоне ухудшения качества ипотечных кредитов, сообщается на сайте регулятора.",finances
"Центральный банк РФ 3 февраля на специальной пресс–конференции раскрыл результаты работы банковского сектора страны в прошлом году, опубликовав целый ряд примечательных слайдов. Ключевой показатель — прибыль банков — снизился с 3,8 трлн до 3,5 трлн рублей.",finances
"На предстоящий квартал ЦБ РФ традиционно установил новые значения макропруденциальных лимитов (МПЛ). В апреле–июне 2026 года вероятность оформления ипотеки, авто– и потребительского кредита для среднестатистического заёмщика выросла на 25%. Вместе с тем ужесточены требования по кредитам под залог недвижимости и для ипотеки на индивидуальное строительство жилья.",finances
ВТБ взыскал почти 200 тыс. евро со швейцарской фирмы — мирового лидера в сфере бизнес–информации о частных компаниях.,finances
"Банки маркетплейсов, оказавшиеся в самом конце прошлого года под огнём критики крупнейших банков страны, в этом году вполне могут быть признаны системообразующими. Новый статус сделает их субъектами усиленного надзора со стороны ЦБ РФ, потребует создавать дополнительные денежные резервы и соблюдать более жёсткие требования к краткосрочной ликвидности.",finances
"Суммой 1 млн рублей в месяц могут ограничить внесение наличных в банкоматах в России, сообщают источники.",finances
"Как изменились требования и предпочтения привилегированных клиентов в банковской сфере, ""Деловому Петербургу"" рассказала руководитель департамента по работе с состоятельными семьями банка ""Уралсиб"" Анастасия Агафонова.",finances
"АСВ нашло в сейфах лишённого в октябре 2025 года лицензии банка ""Таврический"" 399 инвестиционных монет на сумму более 12,6 млн рублей. И выставило их на торги, итоги которых должны быть подведены 10 марта. Среди лотов — инвестиционные серебряный и золотой ""Георгий Победоносец"" номиналом 3 и 50 рублей.",finances
"Средневзвешенная ставка по кредитной карте взлетела до 51% годовых. спрос на карты упал, но кредитка — у каждого второго жителя города.",finances
