text,label
"Летом строительство высокоскоростной магистрали Москва —Петербург будут вести максимальными темпами, сообщил гендиректор группы компаний ""Нацпроектстрой"" Алексей Крапивин.",realty
Комитет по градостроительству и архитектуре Петербурга выпустил распоряжение о подготовке проекта планировки и межевания территории для продолжения Миргородской улицы от улицы Профессора Ивашенцова до Тележной улицы.,realty
"В Петербурге завершена экспертиза проекта реставрации объекта культурного наследия федерального значения ""Дом Зингера"".",realty
"В Петербурге строящийся Большой Смоленский мост проходит заключительный этап подготовки к пропуску судов, сообщили в Смольном.",realty
"Проектная документация ж.-д. платформы ""Пулковские высоты"" в Пушкинском районе получила заключение государственной экспертизы в 2025 году, сообщили ""ДП"" в АО ""Северо-Западная пригородная пассажирская компания"" (СЗППК).",realty
"Полная блокировка мессенджера 1 апреля не состоялась, но рынок недвижимости в процессе перестройки. Как признаются девелоперы, проблемы Telegram в первую очередь привели не к потере сделок, а к снижению привычной скорости коммуникации — и теперь компании вынуждены распределять контакты между несколькими каналами, ни один из которых пока не заменяет детище Павла Дурова полностью.",realty
"В Красногвардейском районе Петербурга, в районе гостиницы ""Охтинская"" планируется разместить экспозицию Музея археологии. Предполагается, что она появится у Свердловской набережной и Большеохтинского проспекта, сообщили 1 апреля в пресс-службе Смольного.",realty
"В Красном Селе ищут подрядчика, который построит начальную школу и детсад при ней за 1,4 млрд рублей. Помимо обычных классов и групповых помещений здесь организуют крытый каток. Это не первый крупный конкурс в данном районе: по соседству появятся ещё два детских сада общей стоимостью почти 2 млрд рублей.",realty
"Setl Group построит 60 тыс. м2 жилья на месте гипермаркета ""О’Кей"" около метро ""Электросила"". Проект оценивают в 15 млрд рублей.",realty
"Девелоперы бросились скупать участки в Петербурге и Ленобласти. С начала года объём сделок вырос на треть. Пока одни компании сбрасывают лишнее на падающем рынке, другие создают запас на ближайшее будущее.",realty
"В Петербурге обанкротилась концессионная компания, которая собиралась строить больницу по соглашению со Смольным, стало известно ""ДП"". Арбитражный суд города Москвы признал ""Невскую Медицинскую Инфраструктуру"" банкротом.",realty
"Современные форматы жилья появляются там, где есть спрос. Его способен формировать развитый производственный кластер, дающий рынку платёжеспособных клиентов.",realty
"Компания Nebius (ранее Yandex N.V.) — бывшая материнская компания ""Яндекса"" — построит в Лаппенранте в Финляндии центр обработки данных (ЦОД) мощностью 310 МВт.",realty
"Строительство 30-этажных высотных зданий в Хельсинки, которые в Финляндии называют небоскрёбами, застопорилось из-за затяжного кризиса.",realty
"В Петербурге возле гостиницы ""Охтинская"" возведут объект культурно-досуговой деятельности, указано в распоряжении КГА на портале официального опубликования.",realty
"В наши дни разработка проектной документации для строительства — это уже не просто чертежи и расчёты, а сложная экосистема, где технологии меняются быстрее, чем успевают обновляться ГОСТы. Как изменились правила игры в отрасли, как сохранять устойчивость в периоды турбулентности и к чему готовиться специалистам в ближайшие годы, ""ДП"" рассказали сооснователи Группы компаний Sky Team Павел Мыльников и Игорь Малюгов.",realty
"Несмотря на свою богатую, более чем 300-летнюю историю Петербург продолжает активно развиваться: появляются новые улицы, парки, скверы. Сегодня это особенно заметно на юге города. Драйвером таких изменений становится новая застройка.",realty
"Четырёхзвездочный отель ""Лахта Тауэрс"" под управлением ZONT Hotel Group на Приморском пр., 80, корп. 2, откроется 10 апреля, стало известно ""ДП"".",realty
"Закупка АО ""Невский экологический оператор"" (НЭО) на выполнение работ по проектированию и строительству комплекса по переработке отходов ""Юго-Восточный"" завершена.",realty
"В Шушарах Пушкинского района Петербурга набирает популярность концепция ""двор без машин"" и стартует новая программа озеленения. Застройщики продолжают развивать юг города, делая акцент на социальной инфраструктуре и транспортной доступности.",realty
Ввод жилья в Ленинградской области в пересчёте на одного жителя стал самым высоким в России.,realty
"Рынок новостроек Петербурга переживает кризис, но уже испытывает дефицит предложения. Девелоперы теряют маржу на банковских процентах, но продолжают запускать проекты. Покупателей меньше, но лучшие квартиры всё равно находят своих владельцев. Генеральный директор ГК ""Ленстройтрест"" Денис Заседателев рассказал ""Деловому Петербургу"" о том, почему 2025 год нужно было пережить, а 2026-й — использовать.",realty
"Застройщик ""Вита"" возведёт около 50 тыс. м2 индустриальной недвижимости формата light industrial в Шушарах, сообщил ""Ъ Северо-Запад"" со ссылкой на данные Госстройнадзора.",realty
"О том, зачем жилые застройщики выходят на рынок коммерческой недвижимости, новых сегментах и перспективах жилой отрасли ""ДП"" поговорил с основателем девелоперской компании Bau City Development Кириллом Сиволобовым.",realty
"На строительной площадке будущей станции Красносельско-Калининской (коричневой) линии метро ""Броневая"" в Петербурге ближе к осени начнут собирать тоннелепроходческий комплекс ""Аврора"", сообщил канал ""Подземник"" во ""ВКонтакте"".",realty
"На территории Бадаевских складов в Петербурге приступили к возведению копра для строительства шахты №849, через которую начнут прокладку станции метро ""Боровая"", сообщили в telegram-канале ""Подземник"" 27 марта.",realty
"Строительство и последующий запуск ж.-д. платформы Пулковские высоты (19-й км) в Пушкинском районе Петербурга могут перенести на 2027-2028 годы, стало известно ""ДП"".",realty
"Заслуженный строитель России, почётный меценат Санкт–Петербурга Вячеслав Заренков рассказал о важности социально–культурной миссии и своём видении города на Неве — прошлого, настоящего и будущего.",realty
"Москва давно живёт в ритме МФК. Десятки многофункциональных комплексов стали там привычной частью делового ландшафта — офисы, жильё, торговля и сервисы под одной крышей воспринимаются как норма, а не исключение. Петербург до последнего времени оставался в стороне от этого тренда.",realty
"В отреставрированном здании бывшего пассажа Ратькова-Рожнова в центре Петербурга откроется гостиница на 160 номеров, сообщил вице-губернатор города Борис Пиотровский.",realty
"Градостроительный совет Ленинградской области рассмотрел обновлённую концепцию застройки квартала 05-02 в Новосаратовке — одну из площадок ЦДС на этой территории. Девелопер переработал проект под формат договора о комплексном развитии территории, предусматривающего более жёсткие обязательства по инфраструктуре в обмен на упрощённое согласование параметров застройки.",realty
"Смольный утвердил документацию по спорному проекту путепровода в Пушкине, ради которого планируется изымать частные дома и участки. Официально опубликовано соответствующее постановление правительства.",realty
"В Петербурге утвердили проект планировки территории для трамвайной линии от станции метро ""Шушары"" до Колпино, проект распоряжения опубликован на сайте Смольного.",realty
"В Петербурге хотят построить автомобильный тоннель, который позволит разгрузить Кировский и Московский районы. Последний раз подобное полноценное дорожное сооружение в городе открыли почти 7 лет назад.",realty
Западный скоростной диаметр прирастает новыми связями с улично-дорожной сетью Васильевского острова.,realty
"В петербургском метрополитене проложили путь до станции метро ""Каретная"", соответствующие фото опубликовала пресс-служба ""Метростроя Северной Столицы"".",realty
"Подготовку проектной документации для станций второго участка Красносельско-Калининской (коричневой) линии метро ""Заставская"", ""Боровая"" и ""Каретная"" завершат в III квартале 2026 года, сообщили в Комстрое Петербурга.",realty
"На протяжении последних нескольких лет эксперты рынка недвижимости отмечают высокую динамику развития Янино. Локация привлекает девелоперов, а также новые категории покупателей. В последние 5 лет существенно изменилось качество предлагаемых проектов — и, судя по последним анонсам, кардинально трансформируется подход к созданию продукта, повышению его эксклюзивности.",realty
"ВТБ зарегистрировал в Роспатенте товарный знак ""Дом Радио"", который потребуется для его работы после реставрации, рассказали ""ДП"" в пресс-службе банка.",realty
"Комитет по градостроительству и архитектуре Петербурга вновь возобновил общественные обсуждения проекта планировки и проекта межевания территории в Приморском районе. Речь идёт о планирующейся застройке в районе ""Лахта центра"". Соответствующее сообщение появилось 25 марта на сайте КГА.",realty
"Компания ""Аквилон"" приобрела у ""Лидер Групп"" участок для строительства жилья в Шушарах",realty
"Новым владельцем проекта жилого комплекса ""Солар парк"" на Школьной улице в Шушарах стала ""Группа Аквилон"", выяснил ""ДП"".",realty
"Компания, связанная с крупным подрядчиком, обошла АО ""ПО ""Возрождение"" на конкурсе по облицовке натуральным камнем станций метро ""Богатырская"" и ""Каменка"".",realty
"Жилищное строительство в Финляндии замерло на исторически низком минимуме не более 25 млн м3 нового жилья в год, а темпы строительства находятся на уровне 1950-х годов.",realty
"Жители Ленобласти продолжают сталкиваться с блокировкой сделок с недвижимостью в зоне КАД-2, несмотря на то что трасса должна обойти населённые пункты.",realty
"В Петербурге отменили общественные обсуждения по проекту планировки с проектом межевания территории у башен ""Лахта"", сообщил 24 марта КГА.",realty
"Велодорожки появятся на основном ходе Южной широтной магистрали (ЮШМ), а также на шоссе Подбельского, рассказал ""ДП"" руководитель проекта СПб ГКУ ""Дирекция транспортного строительства"" Илья Мишеловин.",realty
"На участке ВСМ Москва – Петербург в Тверской области смонтировали два временных моста через реку Шошу, сообщили в пресс-службе Нацпроектстрой 24 марта.",realty
"Сегодня, 24 марта, в Первомайском сельском поселении Выборгского района Ленинградской области торжественно открылся КПО ""Островский"", построенный АО ""Невский экологический оператор"".",realty
"Основной ход Южной широтной магистрали (ЮШМ) от Усть-Славянского шоссе до продолжения шоссе Подбельского соединён, сообщили в Смольном.",realty
"В индустриальном парке ""Киевское-95"" завершили строительство первого корпуса многофункционального комплекса light industrial, сообщили в пресс-службе комитета по промышленной политике, инновациям и торговле (КПИИТ).",realty
"На благоустройство пляжа ""Чудный"" в Репино намерены выделить 130 млн рублей, следует из данных портала госзакупок.",realty
"В Петербурге на площадке ""Экспофорума"" при поддержке Минстроя РФ с 13 по 17 апреля пройдёт Всероссийский жилищный конгресс.",realty
"На форуме недвижимости ""Движение"", который пройдёт на территории курорта ""Роза Хутор"" в Сочи с 16 по 19 июня 2026 года, впервые представят масштабный блок, посвящённый трендам в офисной, складской и торговой недвижимости.",realty
"ГК ""Место"" получила земельный участок в Гафурийском районе Республики Башкортостан для реализации проекта загородного всесезонного курорта с акватермальной инфраструктурой. Право десятилетней аренды участка площадью 11,73 га компания выиграла на торгах.",realty
"Четыре торговых центра планируется ввести в 2026 году в Петербурге, сообщает международная консалтинговая компания Nikoliers.",realty
"На Петровском острове в Петербурге специализированный застройщик ""Петровский 20"" согласовал в КГИОП проект жилого комплекса.",realty
"В Приморском районе Петербурга готовят демонтажный котлован, куда выйдет тоннелепроходческий комплекс ""Надежда"", работающий на Невско-Василеостровской (""зелёной"") линии метро.",realty
"В Петербурге ищут подрядчика для инженерной подготовки территории для новой улицы в Колпино за 4,5 млрд рублей, следует из данных портала госзакупок.",realty
"""Яхт-клуб Санкт-Петербург"", занимающийся строительством объектов на территории туристического кластера ""Санкт-Петербург Марина"" в Горской, через суд просит продлить сроки строительства до 2032 года, следует из электронной картотеки арбитражных дел.",realty
Определены финалисты архитектурного конкурса на проект историко-культурного парка у кургана Вещего Олега в Старой Ладоге.,realty
"Территорию свободной экономической зоны в Усть-Луге Ленобласти по решению комиссии под руководством зампредседателя правительства РФ Александра Новака расширят на 15 га, сообщил глава 47-го региона Александр Дрозденко.",realty
"Минстрой РФ дорабатывает законопроект, регулирующий предоставление рассрочки для покупки жилья, с учётом замечаний Центробанка, заявила глава ЦБ РФ Эльвира Набиуллина.",realty
"Ленинградская область вошла в топ-3 регионов по запуску новых жилых проектов в начале 2026 года, увеличив объём на 119% по сравнению с годом ранее. Такие данные приводит платформа ""Движение.ру"" на основе информации ЕИСЖС.",realty
"Правительство Петербурга утвердило проект планировки второго путепровода и дублёра проспекта Энгельса, следует из постановления Смольного.",realty
"RBI не смогла отсудить права на Водовод, построенный компанией для своего ЖК EcoCity и перешедший в собственность Ленобласти",realty
Смольный разрешил столкнувшейся с проблемами ГК Seven Suns Development запустить проект в Шушарах.,realty
"В Петербурге официально присвоили названия улицам будущего города-спутника Южный, говорится в постановлении правительства города.",realty
После надвижки правого пролёта готовность Цимбалинского путепровода в Петербурге достигла 55%. О завершении очередного этапа работ на объекте 19 марта сообщили в пресс-службе Смольного.,realty
"В Гатчине построят комплекс по производству медицинских изотопов, которые будут использоваться в лекарствах для лечения рака, сообщили в администрации региона.",realty
"ОАО ""РЖД"" выплатит 6,2 млн рублей неустойки за невыполненную реставрацию объекта культурного наследия ""Вокзал железнодорожной станции Ланская"", сообщили в КГИОП.",realty
"Почти двадцать лет Дом купца Злобина на Большой Подьяческой улице в Коломне был лишь предметом обсуждений о необходимости восстановления здания. Сегодня на объекте культурного наследия, который расположен на первой линии канала Грибоедова, ведутся работы по сохранению его исторического облика.",realty
"Госстройнадзор Петербурга выдал разрешение на строительство второго этапа Широтной магистрали скоростного движения (ШМСД), сообщил губернатор Александр Беглов.",realty
"К исторической тюрьме ""Кресты"" проложат подземный тоннель под Арсенальной набережной. Об этом девелопер КВС уведомил комитет по градостроительству и архитектуре (КГА).",realty
