text,label
"Курс доллара превысил 83 рубля, евро — более 95 рублей. Страны Центральной Азии и Армения сохраняют высокие темпы роста",finances
Сбер направит на выплату рекордных дивидендов 853 млрд рублей. Во всех нюансах помог разобраться эксперт крупной девелоперской компании,finances
"Рост экономики России замедлился. А у кого нет?. Реальная зарплата выросла на 4,4%",finances
"Чистая прибыль Банка «Санкт-Петербург» в феврале составила 3,2 млрд рублей. И есть ли выход из этой ситуации",finances
Семейная ипотека 2026: как сегодня покупают бизнес-класс в Москве. Самые богатые россияне увеличили свою долю в доходах населения,finances
Мировые цены на нефть достигли самого высокого уровня с июля 2022 года. И стоит ли делать «валютные заначки»,finances
Госдеп обещал награду и релокацию за информацию о лидерах КСИР. Новый верховный лидер Ирана тоже в списке,finances
Суд в Петербурге обратил в доход государства крупную типографию «Печатня» в Колпино,finances
100 млн баррелей российской нефти вырвались из-под санкций. Как это повлияет на мировой рынок и Россию,finances
"Минтруд рассказал, на сколько выросла средняя зарплата россиян",finances
Есть еще пространство. Аналитики ждут от ЦБ седьмого подряд снижения ключевой ставки,finances
Госдума одобрила законопроект о продаже объектов культурного наследия,finances
"На «системное оздоровление» «Почты России» направят 5 млрд рублей. Рассказываем, как их планируют потратить",finances
ЦБ: перенос роста НДС в цены по большей части закончился,finances
Генпрокуратура просит обратить в доход государства имущество Александра Галицкого,finances
«Ведомости»: власти планируют сократить расходы федерального бюджета,finances
"Налоговая хочет 35% НДФЛ с тех, кто покупал машины в кредит по льготным ставкам. Это грозит только в одном случае",finances
«Не является заработной платой среднего человека». В Петростате прокомментировали уровень зарплат в Петербурге,finances
"Forbes подсчитал, сколько стоит Дональд Трамп",finances
Петростат раскрыл январскую статистику трат петербужцев в ресторанах и магазинах,finances
Смольный отчитался о рекордных инвестициях петербургского бизнеса. Считаем разницу с прошлым годом,finances
"Стало известно, сколько доходов может получить бюджет России из-за конфликта на Ближнем Востоке",finances
"Где самые высокие зарплаты? Проверьте, есть ли ваша работа в списке",finances
"Администрация Трампа отменит некоторые санкции, связанные с нефтью, для снижения цен",finances
Нефть потеряла 10 долларов в цене сразу после известия о разговоре Трампа с Путиным,finances
Рынок акций российских нефтегазовых компаний закрылся в плюсе из-за цен на нефть,finances
Цена на нефть опустилась ниже 100 долларов,finances
G7 заявила о готовности высвободить запасы нефти для поддержания поставок,finances
Каллас: ЕС с 2022 года выделил Украине 195 миллиардов евро,finances
"Нефть по 110, «черный дождь» и спасение бюджета. Как на экономике России и мира уже отразился конфликт в Иране",finances
«Очень небольшая плата за безопасность и мир»: Трамп — о росте цен на нефть,finances
Не хватает на жизнь! Россияне выстроились в очереди в ломбарды и офисы микрозаймов под разговоры про «рост доходов»,finances
Петростат назвал среднюю зарплату петербуржцев за декабрь. Сравните со своей,finances
"В России богатые разбогатели, а бедные — немного разбогатели",finances
"Банк «Санкт-Петербург» в 2025 году заработал 37,8 млрд рублей по МСФО",finances
