dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
RU,qwen2.5,baseline,,,7.161603045,3.088279724,0.435302734,0.855917113,0.856307842,8212
RU,qwen2.5,LoRA,q+v,4,16.89141395,5.656343822,0.346679688,0.92457748,0.924744277,8212
RU,qwen2.5,LoRA,q+v,8,16.91186438,5.659227734,2.919921875,0.913665618,0.913662932,8212
RU,qwen2.5,LoRA,q+v,16,16.76700719,5.664995556,2.642578125,0.915178055,0.915245981,8212
RU,qwen2.5,LoRA,q+v,32,17.34606091,5.684665565,3.029296875,0.918901957,0.919020945,8212
RU,qwen2.5,LoRA,q+k+v,4,18.11896038,5.863085155,8.3125,0.907477742,0.907574282,8212
RU,qwen2.5,LoRA,q+k+v,8,18.12736222,5.867143993,5.59765625,0.909908218,0.910009742,8212
RU,qwen2.5,LoRA,q+k+v,16,18.00213915,5.877075081,4.234375,0.908515609,0.908670239,8212
RU,qwen2.5,LoRA,q+k+v,32,18.72454496,5.915527229,3.3203125,0.90768754,0.907817828,8212
RU,qwen2.5,LoRA,q+k+v+o,4,19.79129738,6.077196484,0.325195313,0.927614536,0.927788602,8212
RU,qwen2.5,LoRA,q+k+v+o,8,19.84688146,6.082964306,0.319091797,0.929086114,0.929249878,8212
RU,qwen2.5,LoRA,q+k+v+o,16,19.76447599,6.109035378,0.319580078,0.931888711,0.932050658,8212
RU,qwen2.5,LoRA,q+k+v+o,32,20.64519337,6.16457737,0.322753906,0.931249802,0.931320019,8212
RU,qwen2.5,QLoRA nf4,q+v,4,28.39835365,3.673379898,0.344167262,0.922123293,0.922308816,8212
RU,qwen2.5,QLoRA nf4,q+v,8,28.40794439,3.678955078,0.341881007,0.923304883,0.923404774,8212
RU,qwen2.5,QLoRA nf4,q+v,16,28.4371924,3.695480347,0.33240509,0.928932678,0.929006332,8212
RU,qwen2.5,QLoRA nf4,q+v,32,28.18429718,3.726638794,0.316290438,0.929167121,0.929249878,8212
RU,qwen2.5,QLoRA nf4,q+k+v,4,29.22179683,3.807234287,0.355167568,0.920406178,0.920603994,8212
RU,qwen2.5,QLoRA nf4,q+k+v,8,29.16070612,3.813182831,0.341115534,0.925251287,0.925353142,8212
RU,qwen2.5,QLoRA nf4,q+k+v,16,29.11174823,3.836101532,0.332234263,0.928412541,0.92851924,8212
RU,qwen2.5,QLoRA nf4,q+k+v,32,28.99670505,3.876934052,0.312858671,0.930468179,0.930589381,8212
RU,qwen2.5,QLoRA nf4,q+k+v+o,4,30.27315561,3.94114542,0.332962155,0.926161968,0.926327326,8212
RU,qwen2.5,QLoRA nf4,q+k+v+o,8,30.23041823,3.953529358,0.326592237,0.92777771,0.927910375,8212
RU,qwen2.5,QLoRA nf4,q+k+v+o,16,30.12770566,3.982002258,0.317726344,0.930205797,0.930345835,8212
RU,qwen2.5,QLoRA nf4,q+k+v+o,32,29.99599845,4.043708801,0.312238753,0.931779176,0.931928885,8212
RU,qwen2.5,QLoRA fp4,q+v,4,29.00495562,3.683157444,0.384694666,0.917922961,0.918046761,8212
RU,qwen2.5,QLoRA fp4,q+v,8,28.93898931,3.68951416,0.357297808,0.922616031,0.922674135,8212
RU,qwen2.5,QLoRA fp4,q+v,16,28.90255954,3.702255249,0.341858566,0.926748234,0.926814418,8212
RU,qwen2.5,QLoRA fp4,q+v,32,28.92476862,3.736282349,0.326116681,0.928408466,0.92851924,8212
RU,qwen2.5,QLoRA fp4,q+k+v,4,29.8197826,3.810530186,0.375708848,0.919750317,0.919873356,8212
RU,qwen2.5,QLoRA fp4,q+k+v,8,29.76563922,3.815502167,0.352753729,0.921278287,0.921334632,8212
RU,qwen2.5,QLoRA fp4,q+k+v,16,29.51823374,3.837017059,0.340879589,0.924362746,0.924378958,8212
RU,qwen2.5,QLoRA fp4,q+k+v,32,29.48442961,3.880901337,0.331089735,0.92824797,0.928275694,8212
RU,qwen2.5,QLoRA fp4,q+k+v+o,4,30.58648201,3.936576843,0.339268386,0.924783255,0.92486605,8212
RU,qwen2.5,QLoRA fp4,q+k+v+o,8,30.49918077,3.953346252,0.333338261,0.927923861,0.928032148,8212
RU,qwen2.5,QLoRA fp4,q+k+v+o,16,30.4979784,3.985481262,0.329111576,0.928606646,0.928762786,8212
RU,qwen2.5,QLoRA fp4,q+k+v+o,32,30.41938339,4.041999817,0.316264868,0.933276748,0.933390161,8212
RU,qwen2.5,baseline,,,6.994798207,3.088264465,0.809570313,0.788794839,0.789210911,8000
RU,qwen2.5,LoRA,q+v,4,16.48177204,5.65179348,2.89453125,0.909166904,0.909157331,8000
RU,qwen2.5,LoRA,q+v,8,16.52859805,5.655287743,4.10546875,0.907219822,0.907452509,8000
RU,qwen2.5,LoRA,q+v,16,16.41786304,5.661055565,3.2578125,0.909718818,0.910131515,8000
RU,qwen2.5,LoRA,q+v,32,16.93085409,5.679749012,2.50390625,0.912357636,0.912566975,8000
RU,qwen2.5,LoRA,q+k+v,4,17.72363434,5.857680321,0.349365234,0.926254997,0.926327326,8000
RU,qwen2.5,LoRA,q+k+v,8,17.76785956,5.861739159,0.32421875,0.927182372,0.927179737,8000
RU,qwen2.5,LoRA,q+k+v,16,17.62558854,5.872158527,0.315917969,0.929103139,0.929128105,8000
RU,qwen2.5,LoRA,q+k+v,32,18.28612831,5.910610676,0.298339844,0.935801119,0.935825621,8000
RU,qwen2.5,LoRA,q+k+v+o,4,19.31583591,6.070815086,1.641601563,0.916506579,0.916585485,8000
RU,qwen2.5,LoRA,q+k+v+o,8,19.37733577,6.076582909,0.310791016,0.930200498,0.930224062,8000
RU,qwen2.5,LoRA,q+k+v+o,16,19.18919746,6.103142262,0.302246094,0.933699334,0.93375548,8000
RU,qwen2.5,LoRA,q+k+v+o,32,20.13723623,6.158684254,0.310546875,0.930767114,0.930832927,8000
RU,qwen2.5,QLoRA nf4,q+v,4,27.78510488,3.672281265,0.347736776,0.923257126,0.923283,8000
RU,qwen2.5,QLoRA nf4,q+v,8,27.74017786,3.678649902,0.341884106,0.92453782,0.924500731,8000
RU,qwen2.5,QLoRA nf4,q+v,16,27.75550009,3.695419312,0.338359386,0.925626088,0.925596688,8000
RU,qwen2.5,QLoRA nf4,q+v,32,27.7602177,3.724990845,0.326230407,0.926993499,0.926936191,8000
RU,qwen2.5,QLoRA nf4,q+k+v,4,28.72036824,3.808882236,0.356375635,0.921950725,0.921943497,8000
RU,qwen2.5,QLoRA nf4,q+k+v,8,28.44705243,3.8118577,0.340867698,0.925733988,0.925718461,8000
RU,qwen2.5,QLoRA nf4,q+k+v,16,28.37110158,3.834636688,0.32997629,0.928645112,0.928641013,8000
RU,qwen2.5,QLoRA nf4,q+k+v,32,28.31779967,3.873943329,0.328139991,0.927157596,0.927179737,8000
RU,qwen2.5,QLoRA nf4,q+k+v+o,4,29.39865314,3.934431553,0.321591139,0.929121221,0.929128105,8000
RU,qwen2.5,QLoRA nf4,q+k+v+o,8,29.37017008,3.949440002,0.326117247,0.927498308,0.927545056,8000
RU,qwen2.5,QLoRA nf4,q+k+v+o,16,29.31699477,3.979743958,0.309664577,0.931024718,0.931076473,8000
RU,qwen2.5,QLoRA nf4,q+k+v+o,32,29.29709321,4.040596008,0.307698995,0.931295877,0.931320019,8000
RU,qwen2.5,QLoRA fp4,q+v,4,28.13331658,3.67967844,0.374218076,0.916839171,0.916829031,8000
RU,qwen2.5,QLoRA fp4,q+v,8,28.08532102,3.682556152,0.34867537,0.923444211,0.923404774,8000
RU,qwen2.5,QLoRA fp4,q+v,16,28.11461213,3.698898315,0.333809316,0.925975304,0.925962007,8000
RU,qwen2.5,QLoRA fp4,q+v,32,28.22727282,3.727249146,0.327501208,0.927194602,0.927179737,8000
RU,qwen2.5,QLoRA fp4,q+k+v,4,29.16399235,3.807600498,0.354956716,0.919154104,0.919142718,8000
RU,qwen2.5,QLoRA fp4,q+k+v,8,29.09913481,3.813976288,0.344691187,0.923985152,0.924013639,8000
RU,qwen2.5,QLoRA fp4,q+k+v,16,29.03475575,3.839763641,0.33656773,0.925457249,0.925474915,8000
RU,qwen2.5,QLoRA fp4,q+k+v,32,28.98941305,3.876018524,0.325444996,0.927783966,0.927788602,8000
RU,qwen2.5,QLoRA fp4,q+k+v+o,4,30.51505235,3.936759949,0.331172884,0.925245553,0.925231369,8000
RU,qwen2.5,QLoRA fp4,q+k+v+o,8,30.31865849,3.951820374,0.341778606,0.925707506,0.925718461,8000
RU,qwen2.5,QLoRA fp4,q+k+v+o,16,30.06135761,3.983711243,0.319338173,0.92862997,0.928641013,8000
RU,qwen2.5,QLoRA fp4,q+k+v+o,32,29.97559315,4.041816711,0.316470623,0.930387915,0.930345835,8000
RU,qwen2.5,baseline,,,3.50643394,2.876214027,304.75,0.472142172,0.470043838,3000
RU,qwen2.5,LoRA,q+v,4,7.170254172,5.65418959,2.4765625,0.824144307,0.824403312,3000
RU,qwen2.5,LoRA,q+v,8,7.124679648,5.65719557,0.385986328,0.915773648,0.915854847,3000
RU,qwen2.5,LoRA,q+v,16,7.147488868,5.66296339,0.356933594,0.921494132,0.921456405,3000
RU,qwen2.5,LoRA,q+v,32,7.40216922,5.68165684,0.3515625,0.925561394,0.925596688,3000
RU,qwen2.5,LoRA,q+k+v,4,7.65457093,5.86154127,0.3828125,0.913968829,0.914150024,3000
RU,qwen2.5,LoRA,q+k+v,8,7.619712428,5.86560011,0.374511719,0.918606543,0.918777399,3000
RU,qwen2.5,LoRA,q+k+v,16,7.647538007,5.87504292,0.377197266,0.920951917,0.921091086,3000
RU,qwen2.5,LoRA,q+k+v,32,7.963100922,5.91349506,0.365722656,0.920643477,0.920725767,3000
RU,qwen2.5,LoRA,q+k+v+o,4,8.276267565,6.07516432,0.376708984,0.921280206,0.921334632,3000
RU,qwen2.5,LoRA,q+k+v+o,8,8.2593908,6.08093214,0.363769531,0.922446099,0.922552362,3000
RU,qwen2.5,LoRA,q+k+v+o,16,8.307098698,6.10700321,0.354003906,0.928112442,0.928153921,3000
RU,qwen2.5,LoRA,q+k+v+o,32,8.78523277,6.1625452,0.350585938,0.926511536,0.926570872,3000
RU,qwen2.5,QLoRA nf4,q+v,4,12.17656762,3.652289391,0.39159596,0.907716257,0.907696055,3000
RU,qwen2.5,QLoRA nf4,q+v,8,12.14361016,3.67561388,0.386379331,0.914585904,0.914637116,3000
RU,qwen2.5,QLoRA nf4,q+v,16,12.14635118,3.685974598,0.395114422,0.919227652,0.919264491,3000
RU,qwen2.5,QLoRA nf4,q+v,32,12.11695017,3.723053455,0.38998431,0.921351149,0.921334632,3000
RU,qwen2.5,QLoRA nf4,q+k+v,4,12.49705456,3.789654255,0.403177381,0.910948741,0.910983926,3000
RU,qwen2.5,QLoRA nf4,q+k+v,8,12.47143192,3.809719563,0.395238608,0.913573172,0.913541159,3000
RU,qwen2.5,QLoRA nf4,q+k+v,16,12.47391701,3.821835041,0.383836389,0.917863231,0.917803215,3000
RU,qwen2.5,QLoRA nf4,q+k+v,32,12.45471377,3.869015217,0.373853296,0.922029915,0.92206527,3000
RU,qwen2.5,QLoRA nf4,q+k+v+o,4,12.9120374,3.921394825,0.400147408,0.917801754,0.917803215,3000
RU,qwen2.5,QLoRA nf4,q+k+v+o,8,12.87471579,3.939690113,0.359770745,0.922602309,0.922552362,3000
RU,qwen2.5,QLoRA nf4,q+k+v+o,16,12.86586412,3.963341236,0.352448016,0.923776278,0.92364832,3000
RU,qwen2.5,QLoRA nf4,q+k+v+o,32,12.85355355,4.027122974,0.343797058,0.923079048,0.923039454,3000
RU,qwen2.5,QLoRA fp4,q+v,4,12.38343997,3.664726734,0.412199467,0.909202115,0.909279104,3000
RU,qwen2.5,QLoRA fp4,q+v,8,12.35844993,3.67372179,0.401505321,0.912979473,0.913054067,3000
RU,qwen2.5,QLoRA fp4,q+v,16,12.35142766,3.68670702,0.388436258,0.91569695,0.915733074,3000
RU,qwen2.5,QLoRA fp4,q+v,32,12.3472371,3.722137928,0.391250253,0.916560076,0.916585485,3000
RU,qwen2.5,QLoRA fp4,q+k+v,4,12.68230035,3.78959322,0.41827932,0.908963966,0.909035558,3000
RU,qwen2.5,QLoRA fp4,q+k+v,8,12.69158699,3.805813313,0.408201396,0.910858628,0.910862153,3000
RU,qwen2.5,QLoRA fp4,q+k+v,16,12.69922958,3.820614338,0.407607079,0.916340647,0.916341939,3000
RU,qwen2.5,QLoRA fp4,q+k+v,32,12.69022588,3.867611408,0.399116427,0.919208949,0.919142718,3000
RU,qwen2.5,QLoRA fp4,q+k+v+o,4,13.0887696,3.924324512,0.402555257,0.914767488,0.914758889,3000
RU,qwen2.5,QLoRA fp4,q+k+v+o,8,13.19316297,3.942619801,0.361924618,0.921102812,0.921091086,3000
RU,qwen2.5,QLoRA fp4,q+k+v+o,16,13.30077806,3.970299244,0.353430331,0.923690866,0.92364832,3000
RU,qwen2.5,QLoRA fp4,q+k+v+o,32,13.20908177,4.026634693,0.343207657,0.924092887,0.924013639,3000
RU,qwen2.5,baseline,,,2.455435773,2.876214027,580.5,0.455728712,0.4769849,1500
RU,qwen2.5,LoRA,q+v,4,4.353443038,5.652403831,0.350585938,0.904020514,0.904042864,1500
RU,qwen2.5,LoRA,q+v,8,4.339949894,5.655287743,0.405517578,0.905311294,0.90550414,1500
RU,qwen2.5,LoRA,q+v,16,4.358173692,5.661055565,0.385253906,0.911189823,0.911349245,1500
RU,qwen2.5,LoRA,q+v,32,4.506883005,5.679749012,0.438964844,0.910657854,0.910862153,1500
RU,qwen2.5,LoRA,q+k+v,4,4.618034871,5.857680321,34.28125,0.888995137,0.889308329,1500
RU,qwen2.5,LoRA,q+k+v,8,4.609373804,5.861739159,13.992188,0.887948526,0.887968826,1500
RU,qwen2.5,LoRA,q+k+v,16,4.620326475,5.872158527,14.140625,0.894326546,0.894544569,1500
RU,qwen2.5,LoRA,q+k+v,32,4.830728436,5.910610676,6.92578125,0.899544168,0.899780809,1500
RU,qwen2.5,LoRA,q+k+v+o,4,4.992496773,6.070815086,28.140625,0.901088291,0.901242085,1500
RU,qwen2.5,LoRA,q+k+v+o,8,4.991299689,6.076582909,21.890625,0.898988325,0.89941549,1500
RU,qwen2.5,LoRA,q+k+v+o,16,5.013180772,6.103142262,12.179688,0.893519618,0.893935704,1500
RU,qwen2.5,LoRA,q+k+v+o,32,5.294272168,6.158684254,10.507812,0.895138725,0.895153434,1500
RU,qwen2.5,QLoRA nf4,q+v,4,7.585601473,3.669853687,0.40263024,0.860444356,0.860326352,1500
RU,qwen2.5,QLoRA nf4,q+v,8,7.575668462,3.678055286,0.368511975,0.899398443,0.899171943,1500
RU,qwen2.5,QLoRA nf4,q+v,16,7.568965217,3.695251942,0.371890664,0.907598662,0.907574282,1500
RU,qwen2.5,QLoRA nf4,q+v,32,7.581903008,3.724457264,0.38899821,0.911626893,0.911714564,1500
RU,qwen2.5,QLoRA nf4,q+k+v,4,7.78869876,3.800396442,0.371110201,0.887693098,0.887481734,1500
RU,qwen2.5,QLoRA nf4,q+k+v,8,7.774979325,3.81051302,0.363803715,0.883083157,0.883097906,1500
RU,qwen2.5,QLoRA nf4,q+k+v,16,7.713023142,3.832516193,0.371045768,0.89942653,0.899537263,1500
RU,qwen2.5,QLoRA nf4,q+k+v,32,7.677861213,3.873775959,0.389142811,0.906146972,0.906356551,1500
RU,qwen2.5,QLoRA nf4,q+k+v+o,4,7.933459727,3.930550098,0.37824589,0.904333523,0.904529956,1500
RU,qwen2.5,QLoRA nf4,q+k+v+o,8,7.929566797,3.942619801,0.408456773,0.909161254,0.909400877,1500
RU,qwen2.5,QLoRA nf4,q+k+v+o,16,7.930581717,3.977867603,0.406789303,0.913235797,0.913541159,1500
RU,qwen2.5,QLoRA nf4,q+k+v+o,32,7.90587337,4.038048267,0.410344303,0.916681375,0.916950804,1500
RU,qwen2.5,QLoRA fp4,q+v,4,7.646325887,3.679985523,0.407363027,0.871320788,0.871529469,1500
RU,qwen2.5,QLoRA fp4,q+v,8,7.64197936,3.684891224,0.389947593,0.896637344,0.896736483,1500
RU,qwen2.5,QLoRA fp4,q+v,16,7.637660547,3.702209949,0.401569396,0.904697579,0.904895275,1500
RU,qwen2.5,QLoRA fp4,q+v,32,7.618963178,3.729218006,0.414141268,0.90813405,0.90830492,1500
RU,qwen2.5,QLoRA fp4,q+k+v,4,7.834947972,3.808208942,0.391905695,0.881032636,0.880905991,1500
RU,qwen2.5,QLoRA fp4,q+k+v,8,7.836955273,3.819973469,0.394264847,0.868197547,0.868485144,1500
RU,qwen2.5,QLoRA fp4,q+k+v,16,7.813244008,3.837826252,0.371317923,0.896255751,0.896371164,1500
RU,qwen2.5,QLoRA fp4,q+k+v,32,7.82838715,3.881405354,0.387207359,0.905123557,0.905260594,1500
RU,qwen2.5,QLoRA fp4,q+k+v+o,4,8.047458522,3.937141895,0.397898763,0.899809532,0.900024355,1500
RU,qwen2.5,QLoRA fp4,q+k+v+o,8,8.076586807,3.949882984,0.424813628,0.907044567,0.907330736,1500
RU,qwen2.5,QLoRA fp4,q+k+v+o,16,8.050355958,3.981285572,0.419280559,0.912076921,0.912323429,1500
RU,qwen2.5,QLoRA fp4,q+k+v+o,32,8.062052373,4.043968678,0.407152295,0.914008975,0.914150024,1500
RU,qwen2.5,baseline,,,1.613272238,3.089791775,1.217773438,0.512268818,0.522040916,300
RU,qwen2.5,LoRA,q+v,4,2.126669741,5.652403831,1.061523438,0.557245627,0.563443741,300
RU,qwen2.5,LoRA,q+v,8,2.120863303,5.655287743,43.5625,0.797738084,0.797856795,300
RU,qwen2.5,LoRA,q+v,16,2.130363103,5.661055565,63.53125,0.815624911,0.816000974,300
RU,qwen2.5,LoRA,q+v,32,2.211202701,5.679749012,8.265625,0.766752662,0.765221627,300
RU,qwen2.5,LoRA,q+k+v,4,2.23188477,5.857680321,1.032226563,0.571211139,0.581100828,300
RU,qwen2.5,LoRA,q+k+v,8,2.232646557,5.861739159,0.999023438,0.584691388,0.595348271,300
RU,qwen2.5,LoRA,q+k+v,16,2.24175444,5.872158527,0.876953125,0.637253942,0.647954213,300
RU,qwen2.5,LoRA,q+k+v,32,2.355765585,5.910610676,0.8125,0.683993913,0.687165124,300
RU,qwen2.5,LoRA,q+k+v+o,4,2.3798883,6.070815086,41.59375,0.75480254,0.754992694,300
RU,qwen2.5,LoRA,q+k+v+o,8,2.381655653,6.076582909,1.940429688,0.56947924,0.570019484,300
RU,qwen2.5,LoRA,q+k+v+o,16,2.402745863,6.103142262,1.28515625,0.583896428,0.588772528,300
RU,qwen2.5,LoRA,q+k+v+o,32,2.561810299,6.158684254,13.070312,0.795936669,0.795543108,300
RU,qwen2.5,QLoRA nf4,q+v,4,2.851587188,3.673379898,1.369347215,0.409422179,0.415002435,300
RU,qwen2.5,QLoRA nf4,q+v,8,2.827376099,3.678161621,1.271926045,0.450735531,0.459814905,300
RU,qwen2.5,QLoRA nf4,q+v,16,2.83790911,3.691085815,1.154522061,0.491033088,0.50645397,300
RU,qwen2.5,QLoRA nf4,q+v,32,2.836554122,3.726760864,1.004005313,0.562863216,0.575621042,300
RU,qwen2.5,QLoRA nf4,q+k+v,4,2.890765778,3.805159092,1.331431508,0.426542072,0.433877253,300
RU,qwen2.5,QLoRA nf4,q+k+v,8,2.854650327,3.815441132,1.295992494,0.46016391,0.466999513,300
RU,qwen2.5,QLoRA nf4,q+k+v,16,2.857522158,3.829814911,1.184585929,0.494861684,0.50523624,300
RU,qwen2.5,QLoRA nf4,q+k+v,32,2.843685921,3.876567841,1.051943898,0.557329666,0.566609839,300
