dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,baseline,,,18.60313218,1.290887833,0.443603516,0.881535448,0.881710526,30000
EN,qwen3,LoRA,q+v,4,55.68899348,3.047973156,0.297119141,0.936581099,0.936578947,30000
EN,qwen3,LoRA,q+v,8,55.49883924,3.05523634,0.289550781,0.938929297,0.938947368,30000
EN,qwen3,LoRA,q+v,16,55.51304739,3.069762707,0.281005859,0.938532082,0.938552632,30000
EN,qwen3,LoRA,q+v,32,57.60526559,3.098815441,0.260498047,0.941972291,0.941973684,30000
EN,qwen3,LoRA,q+k+v,4,60.56583101,3.190669537,0.294189453,0.938407486,0.938421053,30000
EN,qwen3,LoRA,q+k+v,8,60.64523122,3.200923443,0.284423828,0.940248239,0.940263158,30000
EN,qwen3,LoRA,q+k+v,16,61.37272026,3.221431255,0.274658203,0.942323094,0.942368421,30000
EN,qwen3,LoRA,q+k+v,32,63.1520346,3.26244688,0.450195313,0.938773229,0.938815789,30000
EN,qwen3,LoRA,q+k+v+o,4,66.33633368,3.4684062,0.400878906,0.932738257,0.932763158,30000
EN,qwen3,LoRA,q+k+v+o,8,66.17652339,3.482932568,0.363037109,0.936529345,0.936578947,30000
EN,qwen3,LoRA,q+k+v+o,16,66.9708625,3.511985302,0.261474609,0.943094987,0.943157895,30000
EN,qwen3,LoRA,q+k+v+o,32,69.90402655,3.570090771,0.291503906,0.941582984,0.941578947,30000
EN,qwen3,QLoRA nf4,q+v,4,70.674049,2.345310688,0.30581665,0.937347959,0.937368421,30000
EN,qwen3,QLoRA nf4,q+v,8,70.70199858,2.363453388,0.308714926,0.936431104,0.936447368,30000
EN,qwen3,QLoRA nf4,q+v,16,70.60593019,2.37312746,0.286546022,0.939975251,0.94,30000
EN,qwen3,QLoRA nf4,q+v,32,71.10906543,2.405415058,0.271296054,0.943773607,0.943815789,30000
EN,qwen3,QLoRA nf4,q+k+v,4,75.25723046,2.439140797,0.314003587,0.9360659,0.936052632,30000
EN,qwen3,QLoRA nf4,q+k+v,8,73.56989971,2.44754076,0.307830691,0.937291145,0.937368421,30000
EN,qwen3,QLoRA nf4,q+k+v,16,74.45157734,2.474838734,0.289629966,0.939809018,0.939868421,30000
EN,qwen3,QLoRA nf4,q+k+v,32,74.83583437,2.511612415,0.280139565,0.940597057,0.940657895,30000
EN,qwen3,QLoRA nf4,q+k+v+o,4,80.79418962,2.612324238,0.296662599,0.937835797,0.937894737,30000
EN,qwen3,QLoRA nf4,q+k+v+o,8,77.67345637,2.620541096,0.27736482,0.941297481,0.941315789,30000
EN,qwen3,QLoRA nf4,q+k+v+o,16,77.35512979,2.656994343,0.262290806,0.942827563,0.942894737,30000
EN,qwen3,QLoRA nf4,q+k+v+o,32,78.09855723,2.715008259,0.257335424,0.945642832,0.945657895,30000
EN,qwen3,QLoRA fp4,q+v,4,70.54058562,2.354832172,0.314408094,0.932486736,0.9325,30000
EN,qwen3,QLoRA fp4,q+v,8,70.46896413,2.352711201,0.305278599,0.934650946,0.934605263,30000
EN,qwen3,QLoRA fp4,q+v,16,70.22256167,2.375568867,0.294635653,0.937363498,0.937368421,30000
EN,qwen3,QLoRA fp4,q+v,32,71.81198854,2.401752949,0.28397727,0.94052775,0.940526316,30000
EN,qwen3,QLoRA fp4,q+k+v,4,75.21136415,2.437431812,0.315399826,0.935308029,0.935263158,30000
