method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
baseline,,,5.96150566,1.289427757,0.561523438,0.798212869,0.798830979,8212
LoRA,q+v,4,16.32881725,3.047973156,0.3984375,0.904119167,0.90428641,8212
LoRA,q+v,8,16.30191648,3.05523634,0.379638672,0.907256547,0.907452509,8212
LoRA,q+v,16,16.31346074,3.069762707,0.361816406,0.910664566,0.910862153,8212
LoRA,q+v,32,16.6104088,3.098815441,0.340332031,0.913118215,0.913297613,8212
LoRA,q+k+v,4,17.75738792,3.190669537,0.38671875,0.904444772,0.904529956,8212
LoRA,q+k+v,8,17.68766388,3.200923443,0.376220703,0.909611891,0.909766196,8212
LoRA,q+k+v,16,17.65736797,3.221431255,0.363037109,0.912174441,0.912323429,8212
LoRA,q+k+v,32,18.19463145,3.26244688,0.354492188,0.915817032,0.91597662,8212
LoRA,q+k+v+o,4,19.45813545,3.4684062,0.370117188,0.90935962,0.90952265,8212
LoRA,q+k+v+o,8,19.41731422,3.482932568,0.358398438,0.911201308,0.911349245,8212
LoRA,q+k+v+o,16,19.2036665,3.511985302,0.345703125,0.915258466,0.915489528,8212
LoRA,q+k+v+o,32,19.99935688,3.570090771,0.326660156,0.91774767,0.917924988,8212
QLoRA nf4,q+v,4,20.52024093,2.347263813,0.424617738,0.900555092,0.900754993,8212
QLoRA nf4,q+v,8,20.45731667,2.357838154,0.4088929,0.904277711,0.904408183,8212
QLoRA nf4,q+v,16,20.42469045,2.369465351,0.395435095,0.90868553,0.908792012,8212
QLoRA nf4,q+v,32,20.5279839,2.396870136,0.380986273,0.91013911,0.910253288,8212
QLoRA nf4,q+k+v,4,21.4904053,2.435234547,0.432107955,0.900113596,0.900267901,8212
QLoRA nf4,q+k+v,8,21.695346,2.446808338,0.399278849,0.906623366,0.90672187,8212
QLoRA nf4,q+k+v,16,21.70864096,2.469955921,0.375726283,0.910522089,0.910618607,8212
QLoRA nf4,q+k+v,32,21.89115146,2.51747179,0.359588921,0.911603307,0.911714564,8212
QLoRA nf4,q+k+v+o,4,23.52243541,2.608417988,0.397306204,0.906480845,0.906600097,8212
QLoRA nf4,q+k+v+o,8,23.24402514,2.621029377,0.37287733,0.907076361,0.907208962,8212
QLoRA nf4,q+k+v+o,16,22.45298156,2.652355671,0.359981358,0.910908663,0.911105699,8212
QLoRA nf4,q+k+v+o,32,22.77210802,2.714275837,0.341017365,0.914146053,0.914271797,8212
QLoRA fp4,q+v,4,20.96422457,2.344334126,0.434623152,0.898501817,0.898684851,8212
QLoRA fp4,q+v,8,21.01597153,2.355152607,0.413775504,0.901564085,0.901729177,8212
QLoRA fp4,q+v,16,20.95573821,2.371906757,0.402562141,0.904184338,0.904408183,8212
QLoRA fp4,q+v,32,21.11099124,2.404438496,0.380084574,0.90836792,0.908548466,8212
QLoRA fp4,q+k+v,4,22.21067453,2.437675953,0.447747588,0.898213496,0.898441305,8212
QLoRA fp4,q+k+v,8,21.61696805,2.452911854,0.41565758,0.903495032,0.903677545,8212
QLoRA fp4,q+k+v,16,21.67437967,2.469955921,0.403348923,0.906597182,0.90672187,8212
QLoRA fp4,q+k+v,32,21.71325214,2.516006947,0.379354626,0.908048284,0.908183147,8212
QLoRA fp4,q+k+v+o,4,22.75830733,2.603046894,0.41859436,0.901010214,0.901242085,8212
QLoRA fp4,q+k+v+o,8,22.65677582,2.619564533,0.399823308,0.904421767,0.904651729,8212
QLoRA fp4,q+k+v+o,16,22.56776038,2.649425983,0.382577121,0.906414347,0.906600097,8212
QLoRA fp4,q+k+v+o,32,22.78720529,2.719158649,0.382286727,0.907704657,0.907817828,8212
baseline,,,2.909536727,2.399329662,0.692382813,0.741711698,0.742693619,3000
LoRA,q+v,4,406.9188325,4.15822506,0.453857422,0.891655021,0.89174379,3000
LoRA,q+v,8,404.6469877,4.165488243,0.430419922,0.895264624,0.895275207,3000
LoRA,q+v,16,405.85408,4.18001461,0.418212891,0.898065529,0.898075986,3000
LoRA,q+v,32,415.9879954,4.209067345,0.405029297,0.900123933,0.900146128,3000
LoRA,q+k+v,4,440.9068093,4.30092144,0.450439453,0.892472181,0.892596201,3000
LoRA,q+k+v,8,439.183723,4.311175346,0.559082031,0.883272188,0.883219679,3000
LoRA,q+k+v,16,440.0044343,4.331683159,0.434814453,0.89862578,0.898684851,3000
LoRA,q+k+v,32,454.0223286,4.372698784,0.397460938,0.902580786,0.902703361,3000
LoRA,q+k+v+o,4,478.2693048,4.578658104,0.456054688,0.895839134,0.895762299,3000
LoRA,q+k+v+o,8,477.2209315,4.593184471,0.435058594,0.897658178,0.897710667,3000
LoRA,q+k+v+o,16,479.0273099,4.622237206,0.401611328,0.899634154,0.899659036,3000
LoRA,q+k+v+o,32,500.9161935,4.680342674,0.392578125,0.902790625,0.902825134,3000
QLoRA nf4,q+v,4,517.7089584,3.457027435,0.490089446,0.882064135,0.882001948,3000
QLoRA nf4,q+v,8,517.3779044,3.470775604,0.472737908,0.886790998,0.886872869,3000
QLoRA nf4,q+v,16,515.891423,3.481426239,0.458414346,0.891345758,0.891378471,3000
QLoRA nf4,q+v,32,518.683857,3.514690399,0.424527884,0.897788693,0.89783244,3000
QLoRA nf4,q+k+v,4,543.811831,3.542068481,0.483644575,0.882390433,0.882367267,3000
QLoRA nf4,q+k+v,8,540.3296089,3.556816101,0.474989682,0.889324372,0.889308329,3000
QLoRA nf4,q+k+v,16,540.7372248,3.581184387,0.466957211,0.888485752,0.888455918,3000
QLoRA nf4,q+k+v,32,544.8822472,3.6301651,0.440236181,0.896698798,0.896736483,3000
QLoRA nf4,q+k+v+o,4,568.6003997,3.715740204,0.485688806,0.88475052,0.884680955,3000
QLoRA nf4,q+k+v+o,8,566.1591315,3.735919952,0.42499578,0.891877836,0.891865563,3000
QLoRA nf4,q+k+v+o,16,563.3873606,3.759922028,0.412052542,0.895844175,0.895884072,3000
QLoRA nf4,q+k+v+o,32,568.2188914,3.831607819,0.392206639,0.901511437,0.901485631,3000
QLoRA fp4,q+v,4,522.3688962,3.458003998,0.517002523,0.875199386,0.87518266,3000
QLoRA fp4,q+v,8,522.4081321,3.468090057,0.502321005,0.880915864,0.881027764,3000
QLoRA fp4,q+v,16,520.9715438,3.478252411,0.481187642,0.885127597,0.885168047,3000
QLoRA fp4,q+v,32,524.4920399,3.518352509,0.45928812,0.89138618,0.891500244,3000
QLoRA fp4,q+k+v,4,548.9902101,3.548171997,0.525106728,0.876423836,0.876522163,3000
QLoRA fp4,q+k+v,8,546.5852039,3.562431335,0.517528236,0.879373911,0.879444715,3000
QLoRA fp4,q+k+v,16,544.8907003,3.579475403,0.501509368,0.882899705,0.882854359,3000
QLoRA fp4,q+k+v,32,547.7050898,3.629432678,0.459792584,0.889929511,0.889917194,3000
QLoRA fp4,q+k+v+o,4,572.7412431,3.716472626,0.516685545,0.877557736,0.87761812,3000
QLoRA fp4,q+k+v+o,8,569.8096273,3.732990265,0.463992923,0.885016244,0.885046274,3000
QLoRA fp4,q+k+v+o,16,567.4473107,3.763828278,0.445025533,0.891928251,0.891987336,3000
QLoRA fp4,q+k+v+o,32,578.1674149,3.829166412,0.424545437,0.898214404,0.898197759,3000
baseline,,,119.3654265,3.829166412,0.865234375,0.655717684,0.657087189,1500
