dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen2.5,baseline,,,6.90937711,3.088264465,272,0.593866383,0.603421053,8000
EN,qwen2.5,LoRA,q+v,4,16.33392154,5.65179348,5.121094,0.914616335,0.914736842,8000
EN,qwen2.5,LoRA,q+v,8,16.31459203,5.655287743,0.316894531,0.930125559,0.930131579,8000
EN,qwen2.5,LoRA,q+v,16,16.32884155,5.661055565,0.273925781,0.934787903,0.934868421,8000
EN,qwen2.5,LoRA,q+v,32,16.84906702,5.679749012,0.260742188,0.93232744,0.932368421,8000
EN,qwen2.5,LoRA,q+k+v,4,17.52753687,5.857680321,3.84375,0.917415934,0.917368421,8000
EN,qwen2.5,LoRA,q+k+v,8,17.50657099,5.861739159,1.674804688,0.919800328,0.919868421,8000
EN,qwen2.5,LoRA,q+k+v,16,17.46138763,5.872158527,1.259765625,0.918059761,0.918157895,8000
EN,qwen2.5,LoRA,q+k+v,32,18.16585434,5.910610676,0.912109375,0.9258871,0.925921053,8000
EN,qwen2.5,LoRA,q+k+v+o,4,19.00888472,6.070815086,3.546875,0.921653463,0.921710526,8000
EN,qwen2.5,LoRA,q+k+v+o,8,19.05381366,6.076582909,1.916992188,0.921517141,0.921447368,8000
EN,qwen2.5,LoRA,q+k+v+o,16,19.0482933,6.103142262,1.2734375,0.927999169,0.927894737,8000
EN,qwen2.5,LoRA,q+k+v+o,32,20.03862694,6.158684254,0.935546875,0.927976345,0.928026316,8000
EN,qwen2.5,QLoRA nf4,q+v,4,27.66788771,3.677969456,0.342285693,0.926838796,0.926842105,8000
EN,qwen2.5,QLoRA nf4,q+v,8,27.68662767,3.688398838,0.34291175,0.930867779,0.930921053,8000
EN,qwen2.5,QLoRA nf4,q+v,16,27.57356259,3.686752319,0.313648403,0.933789029,0.933815789,8000
EN,qwen2.5,QLoRA nf4,q+v,32,27.66202835,3.725112915,0.321003377,0.935055171,0.935131579,8000
EN,qwen2.5,QLoRA nf4,q+k+v,4,28.5643441,3.816755772,0.344268143,0.929155432,0.929210526,8000
EN,qwen2.5,QLoRA nf4,q+k+v,8,28.51597766,3.819975376,0.336948723,0.931636693,0.931710526,8000
EN,qwen2.5,QLoRA nf4,q+k+v,16,28.47955476,3.830364227,0.327515572,0.934679808,0.934736842,8000
EN,qwen2.5,QLoRA nf4,q+k+v,32,28.45635043,3.879009247,0.309691578,0.936024363,0.936052632,8000
EN,qwen2.5,QLoRA nf4,q+k+v+o,4,29.68892788,3.943464756,0.326067895,0.93337098,0.933421053,8000
EN,qwen2.5,QLoRA nf4,q+k+v+o,8,29.5644731,3.951933384,0.314977467,0.936452968,0.936447368,8000
EN,qwen2.5,QLoRA nf4,q+k+v+o,16,29.48059884,3.977912903,0.294539243,0.939453749,0.939473684,8000
