dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,OGLoRA,q+v,4,33.95765258,2.865855694,0.332519531,0.934425033,0.934473684,15000
EN,qwen3,OGLoRA,q+v,8,36.878303,2.876307964,0.329589844,0.932907838,0.933026316,15000
EN,qwen3,OGLoRA,q+v,16,42.4716623,2.897265911,0.414794922,0.929398534,0.929473684,15000
EN,qwen3,OGLoRA,q+v,32,54.80484737,2.939395428,0.48046875,0.93157827,0.931710526,15000
EN,qwen3,OGLoRA,q+k+v,4,39.29178249,2.874204159,0.328125,0.932542315,0.932631579,15000
EN,qwen3,OGLoRA,q+k+v,8,43.59070208,2.888921261,0.317871094,0.935463063,0.935526316,15000
EN,qwen3,OGLoRA,q+k+v,16,52.16624569,2.918435574,0.354248047,0.930769733,0.930921053,15000
EN,qwen3,OGLoRA,q+k+v,32,69.93470621,2.977784634,0.440429688,0.931536752,0.931578947,15000
EN,qwen3,OGLoRA,q+k+v+o,4,44.65389819,2.880546093,0.336425781,0.933514308,0.933552632,15000
EN,qwen3,OGLoRA,q+k+v+o,8,50.34351115,2.901458263,0.320068359,0.933227289,0.933421053,15000
EN,qwen3,OGLoRA,q+k+v+o,16,62.11783544,2.943389416,0.334228516,0.936155534,0.936184211,15000
EN,qwen3,OGLoRA,q+k+v+o,32,85.85672181,3.027678967,0.347900391,0.933627227,0.933684211,15000
EN,qwen3,OGLoRA,q+v,4,18.9704835,2.865855694,0.3671875,0.927475049,0.9275,8000
EN,qwen3,OGLoRA,q+v,8,20.66438767,2.876307964,0.347412109,0.93163221,0.931710526,8000
EN,qwen3,OGLoRA,q+v,16,23.88007902,2.897265911,0.326416016,0.93152875,0.931578947,8000
EN,qwen3,OGLoRA,q+v,32,30.88622155,2.939395428,0.379882813,0.931208521,0.931184211,8000
EN,qwen3,OGLoRA,q+k+v,4,21.82864742,2.874204159,0.34375,0.929941034,0.93,8000
EN,qwen3,OGLoRA,q+k+v,8,24.42834878,2.888921261,0.360595703,0.93001481,0.93,8000
EN,qwen3,OGLoRA,q+k+v,16,29.33492631,2.918435574,0.555664063,0.924155993,0.924078947,8000
EN,qwen3,OGLoRA,q+k+v,32,27.88955972,2.977784634,0.80859375,0.914762539,0.914868421,8000
EN,qwen3,OGLoRA,q+k+v+o,4,24.95047714,2.880546093,0.338867188,0.928909422,0.928947368,8000
EN,qwen3,OGLoRA,q+k+v+o,8,28.31257977,2.901458263,0.318847656,0.934433987,0.934473684,8000
EN,qwen3,OGLoRA,q+k+v+o,16,35.09168042,2.943389416,0.400634766,0.930066893,0.930131579,8000
EN,qwen3,OGLoRA,q+k+v+o,32,49.13626795,3.027678967,0.778320313,0.92707732,0.926973684,8000
EN,qwen3,OGLoRA,q+v,4,8.138513621,2.865855694,0.413574219,0.916117992,0.916315789,3000
EN,qwen3,OGLoRA,q+v,8,8.973003391,2.876307964,0.396240234,0.919116711,0.919342105,3000
EN,qwen3,OGLoRA,q+v,16,10.60513215,2.897265911,0.387939453,0.921146036,0.921315789,3000
EN,qwen3,OGLoRA,q+v,32,14.0401709,2.939395428,0.467041016,0.919792739,0.92,3000
EN,qwen3,OGLoRA,q+k+v,4,9.411458119,2.874204159,0.418945313,0.918021469,0.918289474,3000
EN,qwen3,OGLoRA,q+k+v,8,10.6754379,2.888921261,0.402587891,0.921487827,0.921710526,3000
EN,qwen3,OGLoRA,q+k+v,16,13.17084227,2.918435574,0.386962891,0.919561393,0.919736842,3000
EN,qwen3,OGLoRA,q+k+v,32,18.23837519,2.977784634,1.03515625,0.909465158,0.909210526,3000
EN,qwen3,OGLoRA,q+k+v+o,4,10.72588749,2.880546093,0.409912109,0.918786337,0.919078947,3000
EN,qwen3,OGLoRA,q+k+v+o,8,12.38761682,2.901458263,0.380859375,0.922129146,0.922236842,3000
EN,qwen3,OGLoRA,q+k+v+o,16,15.84954613,2.943389416,0.8125,0.919880063,0.919868421,3000
EN,qwen3,OGLoRA,q+k+v+o,32,22.70275457,3.027678967,1.064453125,0.907454359,0.907236842,3000
EN,qwen3,OGLoRA,q+v,4,4.914931198,2.879527568,0.426269531,0.908509212,0.908684211,1500
EN,qwen3,OGLoRA,q+v,8,5.433132128,2.876307964,0.426269531,0.912426565,0.912631579,1500
EN,qwen3,OGLoRA,q+v,16,6.592917283,2.897265911,0.406738281,0.914156303,0.914342105,1500
EN,qwen3,OGLoRA,q+v,32,8.987764537,2.939395428,0.429199219,0.907364175,0.9075,1500
EN,qwen3,OGLoRA,q+k+v,4,5.663862125,2.874204159,0.41796875,0.909466761,0.909736842,1500
EN,qwen3,OGLoRA,q+k+v,8,6.505484756,2.888921261,0.400634766,0.912894315,0.913026316,1500
EN,qwen3,OGLoRA,q+k+v,16,8.242790802,2.918435574,0.378417969,0.912985218,0.913289474,1500
EN,qwen3,OGLoRA,q+k+v,32,11.75904186,2.977784634,0.997558594,0.894850058,0.895,1500
EN,qwen3,OGLoRA,q+k+v+o,4,6.475202099,2.880546093,0.409423828,0.908923617,0.909210526,1500
EN,qwen3,OGLoRA,q+k+v+o,8,7.625473082,2.901458263,0.395263672,0.914047628,0.914342105,1500
EN,qwen3,OGLoRA,q+k+v+o,16,10.02255383,2.943389416,0.476318359,0.912020922,0.911973684,1500
EN,qwen3,OGLoRA,q+k+v+o,32,14.75461323,3.027678967,0.628417969,0.906403339,0.906578947,1500
EN,qwen3,OGLoRA,q+v,4,2.320493825,2.865855694,0.479980469,0.82819956,0.828684211,300
EN,qwen3,OGLoRA,q+v,8,2.67136546,2.876307964,0.448974609,0.854511758,0.854868421,300
EN,qwen3,OGLoRA,q+v,16,3.426936718,2.897265911,0.4609375,0.889229562,0.889342105,300
EN,qwen3,OGLoRA,q+v,32,4.964405719,2.939395428,0.654785156,0.878723253,0.878947368,300
EN,qwen3,OGLoRA,q+k+v,4,2.686158931,2.874204159,0.431396484,0.850929916,0.851447368,300
EN,qwen3,OGLoRA,q+k+v,8,3.258983843,2.888921261,0.498535156,0.87241085,0.872631579,300
EN,qwen3,OGLoRA,q+k+v,16,4.395330207,2.918435574,0.489501953,0.886067366,0.886447368,300
EN,qwen3,OGLoRA,q+k+v,32,6.660860201,2.977784634,1.266601563,0.871366386,0.871447368,300
EN,qwen3,OGLoRA,q+k+v+o,4,3.09716543,2.880546093,0.439941406,0.858467693,0.859473684,300
EN,qwen3,OGLoRA,q+k+v+o,8,3.849833155,2.901458263,0.463378906,0.883963051,0.883947368,300
EN,qwen3,OGLoRA,q+k+v+o,16,5.350242949,2.943389416,0.987304688,0.863268018,0.863947368,300
EN,qwen3,OGLoRA,q+k+v+o,32,8.375925239,3.027678967,2.318359375,0.877462426,0.878026316,300
RU,qwen3,OGLoRA,q+v,4,19.48524955,2.865855694,0.401367188,0.909350981,0.90952265,8212
RU,qwen3,OGLoRA,q+v,8,21.24999367,2.876307964,0.382568359,0.913172947,0.913297613,8212
RU,qwen3,OGLoRA,q+v,16,24.80717531,2.897265911,0.368408203,0.914647253,0.914758889,8212
RU,qwen3,OGLoRA,q+v,32,32.10912606,2.939395428,0.391601563,0.913289025,0.913419386,8212
RU,qwen3,OGLoRA,q+k+v,4,22.51248581,2.874204159,0.405761719,0.910653582,0.910862153,8212
RU,qwen3,OGLoRA,q+k+v,8,25.15379772,2.888921261,0.387695313,0.909458595,0.909644423,8212
RU,qwen3,OGLoRA,q+k+v,16,30.45627172,2.918435574,0.368896484,0.911096363,0.911227472,8212
RU,qwen3,OGLoRA,q+k+v,32,41.15906393,2.977784634,0.426757813,0.905453692,0.905382367,8212
RU,qwen3,OGLoRA,q+k+v+o,4,25.66435981,2.880546093,0.392089844,0.907735297,0.907817828,8212
RU,qwen3,OGLoRA,q+k+v+o,8,29.1748428,2.901458263,0.363525391,0.916301907,0.916463712,8212
